date,symbol,marketcapname,sector
17-08-2025 7:30 pm,MARUTI,Largecap,Auto
17-08-2025 7:30 pm,KEC,Largecap,Realty
17-08-2025 7:30 pm,PGEL,Midcap,Consumer Discretionary
18-08-2025 7:30 pm,HLEGLAS,Smallcap,Industrials
19-08-2025 7:30 pm,BGRENERGY,Smallcap,Realty
19-08-2025 7:30 pm,DYCL,Smallcap,Industrials
19-08-2025 7:30 pm,MODTHREAD,Smallcap,Textiles
20-08-2025 7:30 pm,ZENITHEXPO,Smallcap,Consumer Discretionary
20-08-2025 7:30 pm,SILGO,Smallcap,Consumer Discretionary
20-08-2025 7:30 pm,MODTHREAD,Smallcap,Textiles
21-08-2025 7:30 pm,IZMO,Smallcap,I.T
24-08-2025 7:30 pm,GANDHITUBE,Smallcap,Metals & Mining
24-08-2025 7:30 pm,JKPAPER,Midcap,Building Materials
24-08-2025 7:30 pm,EMAMIPAP,Smallcap,Building Materials
25-08-2025 7:30 pm,PROTEAN,Smallcap,I.T
25-08-2025 7:30 pm,RELIABLE,Smallcap,I.T
28-08-2025 7:30 pm,RELIABLE,Smallcap,I.T
31-08-2025 7:30 pm,PNC,Smallcap,Media
31-08-2025 7:30 pm,JINDALPHOT,Smallcap,Financials
31-08-2025 7:30 pm,WIPL,Smallcap,Building Materials
01-09-2025 7:30 pm,DHAMPURSUG,Smallcap,FMCG
01-09-2025 7:30 pm,DWARKESH,Smallcap,FMCG
01-09-2025 7:30 pm,RENUKA,Midcap,FMCG
01-09-2025 7:30 pm,AVADHSUGAR,Smallcap,FMCG
02-09-2025 7:30 pm,TBOTEK,Midcap,I.T
02-09-2025 7:30 pm,E2E,Midcap,I.T
03-09-2025 7:30 pm,ATULAUTO,Smallcap,Auto
03-09-2025 7:30 pm,E2E,Midcap,I.T
03-09-2025 7:30 pm,BECTORFOOD,Midcap,FMCG
07-09-2025 7:30 pm,PVP,Smallcap,Realty
07-09-2025 7:30 pm,MFML,Smallcap,Textiles
07-09-2025 7:30 pm,MOSCHIP,Midcap,I.T
07-09-2025 7:30 pm,BVCL,Smallcap,Building Materials
07-09-2025 7:30 pm,HPIL,Smallcap,Chemicals
09-09-2025 7:30 pm,GRWRHITECH,Midcap,Industrials
09-09-2025 7:30 pm,COASTCORP,Smallcap,FMCG
09-09-2025 7:30 pm,AVANTIFEED,Midcap,FMCG
09-09-2025 7:30 pm,OFSS,Largecap,I.T
09-09-2025 7:30 pm,ATLANTAA,Smallcap,Realty
09-09-2025 7:30 pm,APEX,Smallcap,FMCG
14-09-2025 7:30 pm,VEEDOL,Smallcap,Chemicals
17-09-2025 7:30 pm,MASKINVEST,Smallcap,Financials
18-09-2025 7:30 pm,INTENTECH,Smallcap,I.T
18-09-2025 7:30 pm,ADANIPOWER,Largecap,Power & Utilities
